Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT
0.471483789,-0.504260326,-0.740345384,0.244839763,0.178729038,-0.276096358,-0.658798121,-0.154176656,0.425581846,-0.263014755,-0.297665401,0.210663216,-0.027742795,-0.563172416,-0.557852608,0.097878176,-0.538407401,-0.957589168,-0.958531869,-0.502212851,833.2600733,846.959707,841.3186813,830.8424908,815.1282051
0.432057453,-0.518196991,-0.512246041,0.198483822,0.145667554,-0.332827529,-0.717538637,-0.03845596,0.484728371,-0.257368561,-0.238977929,0.246149706,0.09083844,-0.583297411,-0.601229634,0.114579681,-0.375443755,-0.900253622,-1.003956828,-0.459264752,821.978022,841.3186813,846.1538462,832.4542125,850.1831502
0.407773527,-0.452981783,-0.316135943,0.205237409,0.147239128,-0.29060336,-0.639727485,0.00969104,0.376633642,-0.259744244,-0.195206476,0.179945362,0.178423241,-0.605302616,-0.555264595,0.108531174,-0.257087689,-0.757180769,-1.020299883,-0.35259815,840.9157509,844.9450549,846.959707,848.974359,830.8424908
0.282939345,-0.399897389,-0.341112889,0.09752099,0.240920084,-0.26363035,-0.652671892,-0.035704657,0.347675954,-0.312218887,-0.196791799,0.151132489,0.219653005,-0.641372749,-0.524036717,0.116012228,-0.200469404,-0.751341973,-0.988695542,-0.338876482,823.992674,846.1538462,843.3333333,828.8278388,818.7545788
0.595406801,-0.238880514,-0.421401983,0.140565347,0.177838817,-0.388516071,-0.393462933,-0.193911508,0.416785934,-0.368506369,-0.164293257,0.270045604,0.156042804,-0.599806789,-0.402340377,-0.025195754,-0.175103852,-0.823381046,-0.933194211,-0.240096999,838.4981685,844.9450549,844.5421245,844.1391941,874.7619048
0.684359031,-0.303294024,-0.619630499,0.322092536,0.138720597,-0.584220486,-0.230647368,0.010095401,0.397806527,-0.479870706,-0.174109861,0.322357001,0.095313452,-0.56936037,-0.3771266,0.035307651,-0.140688573,-0.989316984,-0.947928307,-0.188852213,840.1098901,850.1831502,842.1245421,833.6630037,822.3809524
0.644791119,-0.375716107,-0.575333299,0.330518337,0.001281863,-0.751184488,-0.208371938,0.030829914,0.427117578,-0.392903064,-0.272134633,0.32292568,0.198498939,-0.5334676,-0.399283111,0.16754202,-0.178081095,-0.97166168,-0.9208174,-0.12747616,829.2307692,841.3186813,847.3626374,843.3333333,877.1794872
0.600930138,-0.483690148,-0.516694935,0.201881505,0.126109212,-0.562375763,-0.244887101,0.026756066,0.693880073,-0.38082821,-0.311052679,0.477807926,0.260239506,-0.573985259,-0.494811006,0.237004051,-0.255051399,-0.996036013,-0.957511252,-0.161741525,832.8571429,850.1831502,845.7509158,831.2454212,844.5421245
0.564087054,-0.503199797,-0.582801781,-0.088134734,0.221492094,-0.473271836,-0.420677653,0.086048303,0.810294775,-0.396698825,-0.286473874,0.74805956,0.340162878,-0.594862611,-0.603708509,0.252515419,-0.381382074,-1.052381062,-0.961952915,-0.142080633,836.4835165,846.1538462,842.9304029,831.6483516,802.2344322
0.596211534,-0.468629993,-0.578137939,-0.174874588,0.280230126,-0.511870956,-0.404560764,0.148874873,0.809240016,-0.372838902,-0.224978414,0.741605632,0.244711926,-0.619644748,-0.548784188,0.171546195,-0.407482113,-1.08764388,-0.97968293,-0.257962373,832.0512821,844.1391941,843.3333333,833.2600733,870.7326007
