Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z
0.038989914,-0.621146542,-0.23311195,0.147163213,-0.233884206,-0.92091024,-0.256336803,-0.146686085,0.510747197,-0.448589826,-0.188094882,0.749928659,0.020783524,-0.598153674,-0.455273709,0.19941449,-0.457340578,-1.144089547,-0.993443597,-0.223435977,843.3333333,842.5274725,842.5274725,843.7362637,866.3003663,-0.183044,0.140198,0.957703,-1.727142,2.422485,3.170166
-0.072485626,-0.921685654,-0.19057431,0.05038331,-0.167736568,-0.915575583,-0.286031886,-0.148148507,0.504275789,-0.51655755,-0.162049692,0.740211731,0.097939713,-0.624511322,-0.395499875,0.198757946,-0.472606848,-1.092129874,-0.966464678,-0.156630837,835.2747253,841.3186813,840.5128205,832.4542125,865.0915751,-0.18689,0.141113,0.964294,-1.256104,2.220612,4.194489
-0.127388148,-0.817686182,-0.183181288,-0.000978819,-0.140797215,-0.877554928,-0.302286561,-0.106281597,0.422485903,-0.564536233,-0.138577922,0.692996487,0.138766026,-0.613561007,-0.407939462,0.152609127,-0.467975043,-1.078729476,-0.951870642,-0.1448714,843.3333333,849.7802198,842.5274725,824.3956044,818.3516484,-0.190735,0.138123,0.962524,-1.525269,2.923431,3.641205
0.032690079,-0.616047665,-0.227666095,0.120178369,0.045878829,-0.8527055,-0.430780614,0.172753728,0.444809593,-0.566509903,-0.149198738,0.967964045,0.333028258,-0.409451176,-0.391812795,0.15281006,-0.496767082,-1.016074127,-0.964139081,-0.046745069,851.3919414,845.7509158,845.7509158,842.5274725,859.8534799,-0.190063,0.13855,0.960754,-1.398163,3.259888,3.155212
0.204826151,-0.494140948,-0.228690538,0.174030079,0.253611895,-0.668288071,-0.373734279,0.247114799,0.394433292,-0.517450376,-0.199481614,0.926098965,0.351221111,-0.30384833,-0.388984888,0.240208135,-0.448297103,-1.05035705,-1.025614328,-0.035632989,831.6483516,841.3186813,841.7216117,832.4542125,826.4102564,-0.188721,0.136536,0.962036,-1.383209,2.601929,4.321594
0.262073255,-0.410094885,-0.329439372,0.118795473,0.286364233,-0.458724637,-0.366268073,0.344935832,0.330089647,-0.351226682,-0.268328951,0.926098965,0.437529827,-0.283920335,-0.421977386,0.309892092,-0.413104535,-1.090032384,-1.032629042,-0.043410497,834.8717949,841.7216117,847.7655678,836.0805861,851.7948718,-0.190857,0.137268,0.96759,-0.755157,2.826233,3.72345
0.175448587,-0.534417669,-0.469887899,-0.06714482,0.137186096,-0.396620724,-0.445675443,0.195397372,0.216633305,-0.331664002,-0.343679468,0.905101677,0.30202218,-0.41473638,-0.542101931,0.292361581,-0.421599195,-1.05960628,-1.111424709,-0.18582236,842.5274725,846.1538462,843.7362637,832.0512821,826.4102564,-0.187988,0.135803,0.962585,-1.659851,2.908478,3.925323
0.064815679,-0.616737852,-0.549669459,-0.024178053,-0.171522468,-0.392359684,-0.593732457,0.135097824,0.047449549,-0.322518379,-0.521310255,0.388072625,0.25479249,-0.533130411,-0.580585585,0.20850193,-0.482594904,-0.97806553,-1.051443937,-0.227318963,844.9450549,846.959707,839.7069597,834.0659341,840.5128205,-0.184509,0.137573,0.963074,-1.794434,2.459869,3.080444
-0.006979636,-0.887334633,-0.473669344,0.00889125,-0.320936584,-0.530683981,-0.703167421,-0.04285159,-0.018978576,-0.284930008,-0.462637313,0.295803922,0.162740783,-0.538730146,-0.453354143,0.180001418,-0.536763936,-0.933048389,-0.95867763,-0.151611195,841.7216117,844.9450549,846.1538462,834.4688645,865.8974359,-0.188049,0.135132,0.962708,-1.719666,2.437439,3.162689
0.133388054,-0.828665731,-0.519990643,0.116040614,-0.207277806,-0.591625209,-0.54583348,-0.026794288,-0.091755504,-0.204110573,-0.442968334,0.106679134,0.149933924,-0.50101843,-0.352920412,0.205574764,-0.493068116,-0.855682905,-0.874986004,-0.103820788,844.5421245,843.7362637,843.7362637,836.4835165,846.959707,-0.188599,0.135498,0.962891,-1.644897,2.564545,3.648682
