Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
0.503201427,0.161301266,-0.009756185,0.287493097,0.411757138,-0.128541068,-0.052965098,0.407442262,1.115675133,-0.092449665,0.094409011,1.175175734,0.392839023,-0.343343621,-0.22724066,0.82344176,0.156018759,-0.594339748,-0.623236508,0.380881771
0.503201427,0.161301266,-0.009756185,0.287493097,0.411757138,-0.128541068,-0.052965098,0.407442262,1.115675133,-0.092449665,0.094409011,1.175175734,0.392839023,-0.343343621,-0.22724066,0.82344176,0.156018759,-0.594339748,-0.623236508,0.380881771
0.503201427,0.161301266,-0.009756185,0.287493097,0.411757138,-0.128541068,-0.052965098,0.407442262,1.115675133,-0.092449665,0.094409011,1.175175734,0.392839023,-0.343343621,-0.22724066,0.82344176,0.156018759,-0.594339748,-0.623236508,0.380881771
0.503201427,0.161301266,-0.009756185,0.287493097,0.411757138,-0.128541068,-0.052965098,0.407442262,1.115675133,-0.092449665,0.094409011,1.175175734,0.392839023,-0.343343621,-0.22724066,0.82344176,0.156018759,-0.594339748,-0.623236508,0.380881771
0.503201427,0.161301266,-0.009756185,0.287493097,0.411757138,-0.128541068,-0.052965098,0.407442262,1.115675133,-0.092449665,0.094409011,1.175175734,0.392839023,-0.343343621,-0.22724066,0.82344176,0.156018759,-0.594339748,-0.623236508,0.380881771
0.503201427,0.161301266,-0.009756185,0.287493097,0.411757138,-0.128541068,-0.052965098,0.407442262,1.115675133,-0.092449665,0.094409011,1.175175734,0.392839023,-0.343343621,-0.22724066,0.82344176,0.156018759,-0.594339748,-0.623236508,0.380881771
0.503201427,0.161301266,-0.009756185,0.287493097,0.411757138,-0.128541068,-0.052965098,0.407442262,1.115675133,-0.092449665,0.094409011,1.175175734,0.392839023,-0.343343621,-0.22724066,0.82344176,0.156018759,-0.594339748,-0.623236508,0.380881771
0.503201427,0.161301266,-0.009756185,0.287493097,0.411757138,-0.128541068,-0.052965098,0.407442262,1.115675133,-0.092449665,0.094409011,1.175175734,0.392839023,-0.343343621,-0.22724066,0.82344176,0.156018759,-0.594339748,-0.623236508,0.380881771
0.503201427,0.161301266,-0.009756185,0.287493097,0.411757138,-0.128541068,-0.052965098,0.407442262,1.115675133,-0.092449665,0.094409011,1.175175734,0.392839023,-0.343343621,-0.22724066,0.82344176,0.156018759,-0.594339748,-0.623236508,0.380881771
0.503201427,0.161301266,-0.009756185,0.287493097,0.411757138,-0.128541068,-0.052965098,0.407442262,1.115675133,-0.092449665,0.094409011,1.175175734,0.392839023,-0.343343621,-0.22724066,0.82344176,0.156018759,-0.594339748,-0.623236508,0.380881771
0.503201427,0.161301266,-0.009756185,0.287493097,0.411757138,-0.128541068,-0.052965098,0.407442262,1.115675133,-0.092449665,0.094409011,1.175175734,0.392839023,-0.343343621,-0.22724066,0.82344176,0.156018759,-0.594339748,-0.623236508,0.380881771
0.503201427,0.161301266,-0.009756185,0.287493097,0.411757138,-0.128541068,-0.052965098,0.407442262,1.115675133,-0.092449665,0.094409011,1.175175734,0.392839023,-0.343343621,-0.22724066,0.82344176,0.156018759,-0.594339748,-0.623236508,0.380881771
0.503201427,0.161301266,-0.009756185,0.287493097,0.411757138,-0.128541068,-0.052965098,0.407442262,1.115675133,-0.092449665,0.094409011,1.175175734,0.392839023,-0.343343621,-0.22724066,0.82344176,0.156018759,-0.594339748,-0.623236508,0.380881771
0.503201427,0.161301266,-0.009756185,0.287493097,0.411757138,-0.128541068,-0.052965098,0.407442262,1.134757466,-0.11215584,0.094409011,1.237869907,0.392839023,-0.343343621,-0.22724066,0.82344176,0.156018759,-0.594339748,-0.623236508,0.380881771
0.503201427,0.161301266,-0.009756185,0.287493097,0.411757138,-0.128541068,-0.052965098,0.407442262,1.134757466,-0.11215584,0.094409011,1.237869907,0.382167211,-0.373389726,-0.230285769,0.826396031,0.156018759,-0.594339748,-0.623236508,0.380881771
0.45296476,0.158580261,0.003993022,0.285559234,0.411757138,-0.128541068,-0.052965098,0.407442262,1.134757466,-0.11215584,0.094409011,1.237869907,0.382167211,-0.373389726,-0.230285769,0.826396031,0.156018759,-0.594339748,-0.623236508,0.380881771
0.45296476,0.158580261,0.003993022,0.285559234,0.410138983,-0.129940026,-0.058133294,0.406938387,1.134757466,-0.11215584,0.094409011,1.237869907,0.382167211,-0.373389726,-0.230285769,0.826396031,0.156018759,-0.594339748,-0.623236508,0.380881771
0.45296476,0.158580261,0.003993022,0.285559234,0.410138983,-0.129940026,-0.058133294,0.406938387,1.134757466,-0.11215584,0.094409011,1.237869907,0.382167211,-0.373389726,-0.230285769,0.826396031,0.113259788,-0.670061836,-0.66478443,0.37561313
0.45296476,0.158580261,0.003993022,0.285559234,0.410138983,-0.129940026,-0.058133294,0.406938387,1.134757466,-0.11215584,0.094409011,1.237869907,0.382167211,-0.373389726,-0.230285769,0.826396031,0.113259788,-0.670061836,-0.66478443,0.37561313
0.45296476,0.158580261,0.003993022,0.285559234,0.410138983,-0.129940026,-0.058133294,0.406938387,1.134757466,-0.11215584,0.094409011,1.237869907,0.382167211,-0.373389726,-0.230285769,0.826396031,0.113259788,-0.670061836,-0.66478443,0.37561313
0.45296476,0.158580261,0.003993022,0.285559234,0.410138983,-0.129940026,-0.058133294,0.406938387,1.134757466,-0.11215584,0.094409011,1.237869907,0.382167211,-0.373389726,-0.230285769,0.826396031,0.113259788,-0.670061836,-0.66478443,0.37561313
0.45296476,0.158580261,0.003993022,0.285559234,0.410138983,-0.129940026,-0.058133294,0.406938387,1.134757466,-0.11215584,0.094409011,1.237869907,0.382167211,-0.373389726,-0.230285769,0.826396031,0.113259788,-0.670061836,-0.66478443,0.37561313
